clientId,totalClaims,averageClaimAmount,lastClaimDate
C001,2,43180.26,2023-11-30
C002,1,14652.1,2024-02-29
C003,1,8276.28,2023-07-19
C004,3,14010.6,2024-03-23
C005,4,16467.82,2024-03-11
C006,0,0.0,
C007,0,0.0,
C008,1,16135.03,2023-07-15
C009,4,26430.67,2023-09-22
C010,0,0.0,
C011,1,16215.68,2024-01-31
C012,2,2068.16,2024-04-30
C013,0,0.0,
C014,1,3192.49,2024-02-17
C015,2,36341.91,2024-04-16
C016,4,25374.17,2024-05-09
C017,0,0.0,
C018,1,45153.15,2023-08-20
C019,4,16995.35,2023-12-05
C020,4,39581.65,2024-05-24
C021,2,40807.78,2024-04-22
C022,2,12217.02,2024-05-09
C023,4,21381.17,2023-12-08
C024,3,18849.37,2024-03-28
C025,1,42481.2,2023-11-04
C026,4,22346.91,2024-03-18
C027,1,45983.52,2023-08-03
C028,4,45892.58,2024-04-17
C029,3,22134.39,2023-09-21
C030,2,22986.44,2023-11-24
C031,3,17092.66,2024-03-07
C032,3,22903.29,2024-04-21
C033,3,36387.43,2024-05-30
C034,4,25573.49,2024-05-22
C035,2,22628.28,2023-09-27
C036,1,38213.2,2023-08-08
C037,0,0.0,
C038,4,29730.91,2024-05-05
C039,2,13229.17,2024-02-24
C040,1,2648.44,2024-01-25
C041,0,0.0,
C042,0,0.0,
C043,2,32252.56,2023-12-16
C044,3,17074.15,2023-10-19
C045,4,14838.25,2024-02-21
C046,2,23323.57,2023-07-12
C047,2,24182.55,2023-09-15
C048,4,13190.54,2024-04-17
C049,1,10296.94,2024-04-27
C050,0,0.0,
C051,2,19010.23,2024-04-15
C052,3,14636.29,2024-04-12
C053,4,31321.19,2024-02-09
C054,4,24555.28,2024-01-07
C055,3,17261.41,2024-04-13
C056,1,37748.61,2024-01-10
C057,0,0.0,
C058,2,17521.33,2024-01-12
C059,0,0.0,
C060,4,20810.24,2024-03-30
C061,1,13108.13,2023-10-02
C062,0,0.0,
C063,3,18971.36,2024-01-24
C064,2,27194.63,2024-05-10
C065,3,24002.32,2024-05-04
C066,3,22279.9,2024-02-07
C067,2,15672.23,2024-01-10
C068,2,12565.84,2023-12-16
C069,3,23221.2,2024-01-23
C070,1,43674.02,2023-11-14
C071,3,23567.03,2024-05-06
C072,2,30863.65,2024-03-06
C073,4,25227.11,2024-05-31
C074,4,21474.39,2024-01-22
C075,3,34601.76,2024-04-12
C076,2,23370.57,2024-01-27
C077,3,18777.23,2024-04-23
C078,3,31564.86,2024-03-25
C079,4,19830.12,2024-02-25
C080,2,39706.94,2024-05-11
C081,0,0.0,
C082,3,10121.69,2024-02-15
C083,2,25866.17,2024-01-05
C084,2,21904.13,2023-08-26
C085,3,20790.01,2024-04-02
C086,4,17302.97,2024-03-22
C087,4,27820.0,2024-02-13
C088,3,24116.52,2024-04-01
C089,0,0.0,
C090,2,32768.97,2023-08-27
C091,4,20465.0,2024-05-22
C092,3,27456.43,2024-03-30
C093,0,0.0,
C094,3,18974.75,2024-05-05
C095,1,40925.43,2023-12-10
C096,1,977.76,2024-04-12
C097,2,21097.02,2024-05-31
C098,2,11203.31,2024-04-15
C099,2,26225.35,2023-12-16
C100,3,9100.32,2024-04-10
C101,4,25711.92,2024-01-28
C102,0,0.0,
C103,3,37981.0,2023-12-23
C104,1,36756.67,2024-05-16
C105,1,35492.39,2023-10-30
C106,2,24042.08,2023-08-23
C107,3,11442.99,2023-12-02
C108,4,31109.6,2024-02-12
C109,3,21070.82,2024-02-24
C110,0,0.0,
C111,2,34778.54,2024-01-07
C112,0,0.0,
C113,4,18299.35,2024-04-10
C114,0,0.0,
C115,1,38848.03,2023-12-15
C116,4,36909.43,2023-10-19
C117,1,32104.1,2023-10-13
C118,4,15324.94,2023-11-11
C119,0,0.0,
C120,4,23265.06,2024-04-20
C121,4,34703.49,2024-01-27
C122,2,18467.89,2023-11-25
C123,3,22755.05,2024-02-02
C124,3,31008.67,2024-02-23
C125,0,0.0,
C126,0,0.0,
C127,3,29805.29,2024-05-05
C128,0,0.0,
C129,2,18006.2,2024-04-23
C130,3,22790.3,2023-12-24
C131,0,0.0,
C132,4,34574.5,2024-04-01
C133,2,8171.2,2024-04-12
C134,2,23190.82,2024-04-12
C135,3,39659.76,2023-11-21
C136,1,35912.4,2023-09-15
C137,1,5373.41,2023-09-06
C138,3,37352.87,2024-04-15
C139,2,35925.89,2023-06-10
C140,0,0.0,
C141,4,20295.5,2024-05-08
C142,4,24446.39,2024-03-28
C143,1,33391.36,2023-06-02
C144,4,8384.1,2024-01-03
C145,2,16963.26,2024-04-28
C146,3,18330.24,2024-01-27
C147,4,20962.33,2024-05-07
C148,0,0.0,
C149,3,32372.91,2024-04-07
C150,4,29167.68,2024-05-03
C151,0,0.0,
C152,1,43346.67,2023-10-31
C153,4,34485.77,2023-12-07
C154,4,32442.58,2024-04-30
C155,3,29073.53,2024-04-08
C156,2,24453.26,2023-09-16
C157,4,21762.45,2024-05-06
C158,4,24723.76,2024-04-29
C159,3,31498.05,2024-04-21
C160,4,23142.97,2024-02-08
C161,1,13968.94,2024-02-05
C162,0,0.0,
C163,2,25275.84,2023-11-21
C164,4,23357.62,2024-04-16
C165,4,37863.81,2024-05-05
C166,4,27909.17,2024-03-03
C167,2,26004.13,2024-05-19
C168,0,0.0,
C169,3,24699.41,2023-08-23
C170,4,35470.18,2024-05-06
C171,2,18476.11,2024-02-29
C172,3,15742.11,2024-05-28
C173,2,17796.21,2023-12-06
C174,1,46852.84,2024-05-11
C175,1,14531.44,2023-10-31
C176,2,23074.81,2024-03-19
C177,4,28332.48,2024-03-18
C178,0,0.0,
C179,2,22790.01,2023-09-29
C180,3,26972.11,2023-12-15
C181,3,24946.05,2024-04-08
C182,4,30417.99,2023-10-22
C183,4,33159.11,2024-02-14
C184,0,0.0,
C185,3,25512.68,2024-04-24
C186,4,28018.01,2024-01-30
C187,3,13960.93,2024-04-15
C188,4,21258.77,2024-05-19
C189,3,20827.02,2024-03-26
C190,4,20464.12,2024-05-18
C191,2,29937.67,2024-05-27
C192,4,27774.12,2024-04-04
C193,0,0.0,
C194,3,19662.43,2024-05-19
C195,4,24896.38,2024-01-08
C196,3,16994.24,2024-04-20
C197,3,37402.71,2024-04-04
C198,2,26177.43,2024-02-25
C199,3,44298.91,2024-05-05
C200,0,0.0,
C201,4,37253.14,2023-12-17
C202,0,0.0,
C203,0,0.0,
C204,4,20495.56,2024-05-18
C205,1,14759.0,2024-01-28
C206,2,19014.11,2024-05-30
C207,0,0.0,
C208,2,19996.83,2024-02-20
C209,1,10074.12,2024-04-21
C210,0,0.0,
C211,0,0.0,
C212,4,9161.4,2024-04-25
C213,3,15018.59,2024-05-25
C214,1,49153.43,2023-06-25
C215,0,0.0,
C216,3,26150.12,2024-01-24
C217,0,0.0,
C218,1,8924.88,2024-05-03
C219,2,33778.67,2024-05-19
C220,1,10337.14,2024-03-07
C221,0,0.0,
C222,4,18979.99,2024-01-29
C223,1,1901.1,2023-07-25
C224,2,19999.4,2023-11-28
C225,0,0.0,
C226,2,34361.18,2024-03-18
C227,2,32735.47,2024-01-14
C228,2,30961.0,2023-12-28
C229,1,12882.76,2023-07-28
C230,3,19209.82,2023-10-27
C231,3,43254.79,2024-04-02
C232,1,36707.33,2023-09-10
C233,2,13004.3,2024-03-17
C234,3,31291.2,2024-05-06
C235,2,43877.92,2024-01-03
C236,1,8687.91,2024-04-17
C237,0,0.0,
C238,0,0.0,
C239,1,23330.02,2023-11-26
C240,2,22630.6,2024-01-20
C241,1,43984.46,2023-07-13
C242,2,44160.54,2024-03-24
C243,1,28874.46,2024-03-03
C244,0,0.0,
C245,2,6562.31,2023-11-11
C246,3,27203.24,2024-01-02
C247,4,27624.6,2024-05-25
C248,4,29643.58,2024-02-09
C249,4,30538.04,2023-09-05
C250,4,15350.01,2024-05-15
C251,3,22445.15,2024-02-12
C252,3,21384.57,2024-04-09
C253,0,0.0,
C254,4,38172.9,2024-01-15
C255,2,5324.97,2023-09-10
C256,0,0.0,
C257,2,24008.4,2024-04-13
C258,4,20950.94,2024-03-19
C259,3,21259.63,2024-05-27
C260,3,23559.01,2024-03-28
C261,2,29824.16,2024-01-02
C262,4,19967.94,2023-11-18
C263,3,24060.14,2024-04-25
C264,1,22956.06,2023-09-12
C265,4,20058.64,2023-07-10
C266,4,23641.65,2024-04-25
C267,2,20510.92,2024-04-24
C268,4,26703.25,2024-03-20
C269,1,49503.06,2023-11-24
C270,1,9463.16,2024-02-12
C271,4,23737.05,2024-04-29
C272,4,22500.51,2024-05-17
C273,4,26498.33,2024-01-30
C274,2,39830.38,2024-02-18
C275,4,35237.45,2024-02-22
C276,3,27440.03,2024-03-23
C277,0,0.0,
C278,3,18387.73,2024-05-01
C279,4,27382.5,2024-05-16
C280,3,18705.35,2024-05-01
C281,2,38593.12,2024-01-22
C282,0,0.0,
C283,2,29895.17,2024-04-15
C284,3,27119.43,2024-03-08
C285,2,29655.45,2024-03-21
C286,0,0.0,
C287,3,28934.0,2023-12-24
C288,3,11706.76,2024-04-14
C289,3,28949.64,2024-05-12
C290,3,23484.95,2023-12-02
C291,1,34264.46,2024-01-22
C292,2,30868.43,2023-12-12
C293,0,0.0,
C294,3,37233.97,2023-11-13
C295,2,18316.53,2023-08-31
C296,1,35499.61,2023-07-18
C297,2,37750.47,2024-02-23
C298,3,20449.48,2024-01-13
C299,4,8978.75,2024-02-02
C300,0,0.0,
C301,3,24104.23,2023-12-22
C302,4,37387.62,2024-05-17
C303,4,23804.75,2024-05-28
C304,3,8575.32,2024-04-07
C305,1,26998.45,2023-08-16
C306,4,30510.85,2024-04-02
C307,3,24783.63,2024-04-06
C308,2,28773.65,2023-09-03
C309,1,13182.32,2024-04-22
C310,3,25960.73,2024-05-28
C311,3,20571.27,2023-10-18
C312,3,19078.39,2024-01-19
C313,1,10661.22,2024-04-21
C314,0,0.0,
C315,1,420.8,2024-05-05
C316,4,16204.02,2024-04-23
C317,0,0.0,
C318,4,29504.65,2023-08-19
C319,2,8713.48,2024-05-29
C320,3,38167.99,2024-04-15
C321,2,29452.76,2024-01-28
C322,3,32893.6,2024-02-12
C323,0,0.0,
C324,1,45039.62,2023-09-30
C325,1,8128.7,2024-01-21
C326,2,26256.29,2024-05-08
C327,2,26143.91,2024-02-13
C328,2,19008.9,2024-04-26
C329,4,36001.79,2024-03-24
C330,4,25309.57,2024-03-14
C331,0,0.0,
C332,3,22879.42,2024-03-18
C333,1,3984.74,2024-03-02
C334,2,11703.98,2024-03-10
C335,3,20258.18,2024-05-27
C336,3,13819.13,2024-01-23
C337,1,19719.85,2023-11-18
C338,3,32392.21,2024-04-12
C339,3,20750.6,2024-03-15
C340,3,19317.9,2024-04-09
C341,4,26237.4,2024-03-14
C342,4,36991.64,2024-05-19
C343,3,34226.58,2024-04-07
C344,0,0.0,
C345,1,44870.93,2023-09-16
C346,4,31109.51,2024-04-28
C347,3,32046.67,2024-04-09
C348,2,13304.5,2024-04-05
C349,1,18104.86,2024-04-17
C350,3,37312.85,2024-02-08
C351,3,25747.97,2024-01-15
C352,2,29482.44,2023-10-21
C353,3,36290.8,2024-04-26
C354,2,19691.47,2023-11-13
C355,3,27836.54,2024-05-29
C356,4,12885.29,2024-01-14
C357,2,39619.99,2024-05-04
C358,1,27099.47,2023-07-29
C359,3,13704.99,2024-02-25
C360,0,0.0,
C361,1,41685.3,2024-02-26
C362,2,44786.04,2023-09-28
C363,3,32498.68,2024-05-17
C364,0,0.0,
C365,0,0.0,
C366,1,41636.98,2023-07-16
C367,1,19575.4,2023-12-20
C368,4,14760.83,2024-02-24
C369,4,18499.6,2024-05-14
C370,0,0.0,
C371,1,23770.68,2024-03-04
C372,3,23943.6,2024-01-21
C373,0,0.0,
C374,4,17863.35,2024-03-31
C375,2,10479.51,2024-03-26
C376,2,26043.19,2024-01-01
C377,2,10144.3,2023-11-03
C378,3,13375.19,2023-12-22
C379,2,16829.67,2024-01-24
C380,1,16934.59,2023-08-29
C381,3,35025.05,2024-04-06
C382,4,24015.72,2024-02-23
C383,1,15655.81,2023-09-19
C384,3,23448.49,2024-03-24
C385,1,29148.72,2023-09-18
C386,0,0.0,
C387,3,33654.01,2024-04-06
C388,0,0.0,
C389,3,26218.05,2024-03-12
C390,1,30640.55,2024-03-03
C391,1,32591.4,2024-03-19
C392,0,0.0,
C393,4,15130.16,2024-04-09
C394,2,17109.29,2023-10-06
C395,4,28792.52,2024-05-07
C396,1,35690.64,2023-12-26
C397,1,27699.67,2023-09-16
C398,1,7426.13,2024-01-27
C399,0,0.0,
C400,1,9192.94,2023-10-03
C401,3,27280.7,2023-08-07
C402,4,13290.47,2024-02-01
C403,3,18961.82,2023-12-21
C404,3,28790.65,2024-05-01
C405,1,4337.29,2023-07-14
C406,4,31988.36,2023-11-23
C407,2,16174.52,2024-05-19
C408,0,0.0,
C409,4,27330.48,2024-04-25
C410,0,0.0,
C411,3,17534.28,2023-12-20
C412,0,0.0,
C413,1,6108.47,2023-09-02
C414,4,21348.38,2023-12-31
C415,3,32909.64,2024-04-06
C416,2,28018.22,2024-05-25
C417,1,18752.65,2024-04-15
C418,0,0.0,
C419,3,40261.06,2024-04-23
C420,3,21166.65,2024-01-25
C421,1,21644.85,2024-03-23
C422,0,0.0,
C423,2,23510.86,2024-01-20
C424,0,0.0,
C425,2,17307.12,2024-04-22
C426,1,7102.67,2024-05-10
C427,2,23605.2,2023-12-11
C428,4,25203.55,2024-03-11
C429,4,38971.57,2024-01-28
C430,3,25741.78,2024-04-08
C431,4,19995.96,2024-04-29
C432,3,33005.31,2024-03-23
C433,3,26554.96,2024-05-18
C434,1,13300.35,2023-06-07
C435,0,0.0,
C436,4,19941.64,2024-05-08
C437,1,1060.33,2024-03-08
C438,1,4752.02,2023-08-18
C439,1,25991.48,2024-03-01
C440,2,42337.46,2024-02-05
C441,4,29386.03,2024-01-14
C442,1,5070.06,2023-10-24
C443,1,47843.4,2024-02-23
C444,0,0.0,
C445,3,22997.44,2023-11-20
C446,3,10004.93,2024-02-20
C447,1,43893.68,2024-05-25
C448,1,30176.36,2024-05-17
C449,1,18432.21,2024-05-21
C450,3,30734.39,2024-02-26
C451,3,17707.19,2024-04-15
C452,3,18180.15,2024-04-15
C453,2,10376.05,2024-04-17
C454,1,29265.97,2024-01-11
C455,3,27163.63,2024-03-08
C456,3,42427.95,2023-11-30
C457,3,31873.39,2024-03-23
C458,0,0.0,
C459,4,18443.25,2024-05-30
C460,3,28071.12,2024-02-28
C461,0,0.0,
C462,0,0.0,
C463,4,30346.55,2023-10-23
C464,3,26172.6,2024-02-23
C465,1,49774.27,2023-11-01
C466,2,33501.13,2023-11-20
C467,2,19257.05,2024-05-02
C468,4,32817.5,2024-05-12
C469,0,0.0,
C470,4,19259.27,2023-12-29
C471,3,37800.94,2024-05-27
C472,1,25904.71,2024-05-23
C473,4,32843.93,2024-02-02
C474,2,37524.49,2024-02-10
C475,2,14127.78,2023-08-23
C476,1,19148.93,2023-10-26
C477,4,37031.55,2024-04-26
C478,1,19440.61,2023-08-29
C479,4,25725.68,2024-04-07
C480,1,49221.4,2024-03-21
C481,1,6905.72,2024-05-18
C482,1,27426.21,2024-04-05
C483,1,34053.31,2023-12-24
C484,3,22918.5,2024-04-04
C485,0,0.0,
C486,4,13201.6,2024-05-16
C487,0,0.0,
C488,1,7674.18,2024-05-31
C489,4,17350.92,2024-04-04
C490,1,12761.68,2023-06-14
C491,3,29719.61,2023-10-06
C492,1,18636.12,2024-03-09
C493,1,27091.46,2024-01-01
C494,1,43915.08,2023-09-03
C495,0,0.0,
C496,0,0.0,
C497,3,16365.96,2023-09-26
C498,0,0.0,
C499,2,12151.19,2023-08-22
C500,2,30145.15,2024-01-21
